epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.849,1.36004,2.25619,1.4419,0.78209,0.67321,0.72328,0.39475,1.51,1.57041,1.48625,0.0676226,0.000327044,0.000327044
2,140.251,1.36062,1.28108,1.44439,0.21685,0.66039,0.17291,0.09429,1.38,11.9267,1.62616,0.0346063,0.000644033,0.000644033
3,208.061,1.39059,1.32425,1.4864,0.72755,0.63369,0.72182,0.43371,1.37177,3.32343,1.46525,0.00157345,0.000944522,0.000944522
4,276.782,1.3815,1.24674,1.47113,0.83908,0.67709,0.76962,0.43532,1.43329,1.93932,1.52631,0.00092575,0.00092575,0.00092575
5,343.064,1.34164,1.16092,1.46005,0.76501,0.71785,0.7854,0.46732,1.40149,1.25314,1.47743,0.000901,0.000901,0.000901
6,410.488,1.31194,1.08669,1.42217,0.87801,0.7569,0.82683,0.5035,1.32498,1.24431,1.37828,0.00087625,0.00087625,0.00087625
7,477.926,1.28485,1.06797,1.40808,0.8388,0.76845,0.81909,0.49438,1.43841,1.0613,1.42926,0.0008515,0.0008515,0.0008515
8,544.042,1.28922,1.06178,1.42571,0.86051,0.6957,0.80183,0.49956,1.31913,1.1158,1.37813,0.00082675,0.00082675,0.00082675
9,609.197,1.25593,0.95681,1.3861,0.83567,0.73951,0.80466,0.46407,1.57148,1.11674,1.5505,0.000802,0.000802,0.000802
10,675.691,1.26593,0.97391,1.40236,0.90979,0.79599,0.87145,0.54548,1.33655,0.90699,1.38691,0.00077725,0.00077725,0.00077725
11,741.272,1.2566,0.95876,1.37868,0.91167,0.74661,0.8083,0.52906,1.28821,1.18709,1.33273,0.0007525,0.0007525,0.0007525
12,808.085,1.22243,0.90068,1.37773,0.96176,0.77786,0.86633,0.53411,1.36559,0.85179,1.37243,0.00072775,0.00072775,0.00072775
13,874.157,1.16996,0.86736,1.33799,0.93091,0.79409,0.85614,0.50847,1.47409,0.83937,1.41199,0.000703,0.000703,0.000703
14,938.535,1.19001,0.84403,1.33359,0.86536,0.86375,0.90055,0.58136,1.2818,0.76979,1.33447,0.00067825,0.00067825,0.00067825
15,1008.3,1.16096,0.78432,1.30015,0.96928,0.83648,0.89077,0.59032,1.2158,0.73436,1.23879,0.0006535,0.0006535,0.0006535
16,1074.23,1.14149,0.79467,1.29804,0.94006,0.82657,0.89612,0.57721,1.31418,0.68841,1.30058,0.00062875,0.00062875,0.00062875
17,1139.51,1.11708,0.77622,1.29229,0.95225,0.84545,0.89443,0.5216,1.53299,0.74522,1.42544,0.000604,0.000604,0.000604
18,1205.3,1.16017,0.78043,1.3079,0.94637,0.85135,0.90701,0.53511,1.48758,0.73431,1.37796,0.00057925,0.00057925,0.00057925
19,1271.83,1.09155,0.73462,1.26957,0.93894,0.8442,0.89664,0.54708,1.47662,0.78813,1.39652,0.0005545,0.0005545,0.0005545
20,1337.68,1.09822,0.72386,1.26003,0.97043,0.83592,0.91675,0.55187,1.43118,0.71833,1.36716,0.00052975,0.00052975,0.00052975
21,1403.67,1.08997,0.72344,1.26468,0.93977,0.87565,0.92512,0.63498,1.10193,0.63103,1.2024,0.000505,0.000505,0.000505
22,1471.05,1.0425,0.69123,1.22596,0.91213,0.86275,0.91262,0.64026,1.05389,0.65301,1.19256,0.00048025,0.00048025,0.00048025
23,1543.1,1.04341,0.72078,1.23637,0.9477,0.86683,0.92333,0.68699,0.95126,0.59375,1.11864,0.0004555,0.0004555,0.0004555
24,1613.16,1.00506,0.66268,1.21641,0.9229,0.86451,0.91528,0.64671,1.02844,0.63795,1.14513,0.00043075,0.00043075,0.00043075
25,1679.02,0.99287,0.66514,1.20316,0.94044,0.83962,0.91083,0.69877,0.89787,0.62437,1.10734,0.000406,0.000406,0.000406
26,1746.02,0.96667,0.6277,1.17996,0.88847,0.88849,0.92779,0.70211,0.88755,0.58482,1.09601,0.00038125,0.00038125,0.00038125
27,1817.4,0.99445,0.61958,1.20006,0.96433,0.83471,0.91686,0.68323,0.94761,0.61126,1.10762,0.0003565,0.0003565,0.0003565
28,1887.93,0.95989,0.61634,1.17978,0.98187,0.85114,0.92208,0.71351,0.87837,0.58239,1.08579,0.00033175,0.00033175,0.00033175
29,1953.36,0.91402,0.57089,1.1601,0.9696,0.85051,0.92112,0.72876,0.78046,0.5445,1.05658,0.000307,0.000307,0.000307
30,2019.37,0.89918,0.56501,1.1359,0.95964,0.8809,0.93031,0.74911,0.72351,0.5029,1.02237,0.00028225,0.00028225,0.00028225
31,2091.14,0.82363,0.48895,1.10903,0.98331,0.83258,0.9091,0.72509,0.76243,0.58028,1.07377,0.0002575,0.0002575,0.0002575
32,2157.63,0.81657,0.48086,1.11438,0.97575,0.87716,0.93118,0.75301,0.75456,0.49082,1.0224,0.00023275,0.00023275,0.00023275
33,2223.71,0.81181,0.48387,1.10006,0.95532,0.88863,0.93009,0.7297,0.84635,0.52408,1.05054,0.000208,0.000208,0.000208
34,2288.91,0.79412,0.4728,1.11459,0.97915,0.86584,0.92939,0.76187,0.71719,0.48111,0.99739,0.00018325,0.00018325,0.00018325
35,2355.86,0.76636,0.45131,1.07415,0.97758,0.87726,0.92542,0.76636,0.72659,0.48828,0.99721,0.0001585,0.0001585,0.0001585
36,2426.83,0.7532,0.4258,1.06093,0.95946,0.88769,0.92799,0.75279,0.72256,0.48693,0.9879,0.00013375,0.00013375,0.00013375
37,2490.8,0.74443,0.43355,1.06332,0.96024,0.8689,0.92963,0.76801,0.72659,0.45628,0.99407,0.000109,0.000109,0.000109
38,2557.32,0.74118,0.407,1.06977,0.966,0.87815,0.93315,0.78223,0.67553,0.44711,0.97388,8.425e-05,8.425e-05,8.425e-05
39,2627.35,0.72246,0.40061,1.04984,0.96153,0.87797,0.93362,0.78987,0.6452,0.4378,0.96593,5.95e-05,5.95e-05,5.95e-05
40,2694.45,0.72993,0.40501,1.05462,0.97635,0.87621,0.93384,0.78961,0.6482,0.43834,0.97063,3.475e-05,3.475e-05,3.475e-05
